#,Country,"GDP (nominal, 2022)",GDP growth,Population (2022),GDP per capita,Share of World GDP,Immunization (%),Death rate/1000 people,Birth rate/1000 people,Diabetes prevalence (% of population ages 20 to 79),Life expectancy,"Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population),Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
129,Madagascar,14954967604,14.95 billion,3.80,29611714,505,57.0,7.104,30.949,4.6,64.485,66.0,119.429,233.0,2.416869374,28915653,51.0,143.0,3.695,3.644,3.774,3.933,4.166,4.208,4.208
130,Congo,14615532210,14.62 billion,1.55,5970424,2448,77.0,7.063,30.691,5.5,63.519,43.0,103.633,370.0,2.316488253,5835806,33.3,,,,,,,,
131,Moldova,14420947884,14.42 billion,-5.95,3272996,4406,87.0,16.36,12.432,5.6,68.846,14.2,27.795,75.0,-1.503429523,2595809,2.5,71.0,5.897,5.838,5.64,5.529,5.608,5.766,5.766
132,Niger,13969605583,13.97 billion,11.50,26207977,533,82.0,8.141,45.293,5.2,61.576,115.2,170.462,79.0,3.707423785,25252722,16.1,114.0,3.856,4.028,4.166,4.628,4.91,5.074,5.074
133,North Macedonia,13563132057,13.56 billion,2.15,2093599,6478,81.0,15.5,10.2,6.1,74.53682927,5.3,16.367,11.0,-0.359578822,2065092,3.6,84.0,5.121,,,5.274,5.16,5.101,5.101
134,Rwanda,13312796765,13.31 billion,8.16,13776698,966,88.0,6.28,29.976,6.5,66.072,39.4,32.444,56.0,2.371751548,13461888,31.6,152.0,3.515,3.471,3.408,3.334,3.312,3.415,3.415
135,Malawi,13164667627,13.16 billion,0.92,20405317,645,93.0,6.983,32.859,7.3,62.904,41.9,117.865,132.0,2.611417766,19889742,17.8,150.0,4.156,3.97,3.587,3.41,3.538,3.6,3.6
136,Mauritius,12898307089,12.90 billion,8.69,1299469,9926,92.0,10.5,10.3,22.6,73.6802439,16.6,24.564,12.0,0.025272988,1266334,6.8,57.0,5.648,5.629,5.891,5.888,6.101,6.049,6.049
137,Bahamas,12897400000,12.90 billion,14.37,409984,31458,86.0,8.986,11.445,8.8,71.598,13.2,25.686,12.0,0.352416997,407906,,,,,,,,,
138,Chad,12704149842,12.70 billion,2.24,17723315,717,58.0,12.504,43.357,5.8,52.525,107.1,138.306,140.0,3.163887505,17179740,31.4,132.0,3.763,3.936,4.301,4.35,4.423,4.355,4.355
139,Namibia,12607436976,12.61 billion,4.56,2567012,4911,94.0,10.709,27.439,6.7,59.269,39.0,64.944,452.0,1.63585889,2530151,17.1,113.0,4.574,4.574,4.441,4.639,4.571,4.574,4.574
140,Equatorial Guinea,11813908448,11.81 billion,3.15,1674908,7053,53.0,9.042,30.498,5.5,60.594,76.8,139.706,275.0,2.378494519,1634466,,,,,,,,,
141,Kyrgyzstan,10930644915,10.93 billion,7.02,6630623,1649,89.0,5.8,22.4,6.6,71.9,17.4,34.697,115.0,2.898362886,6773400,4.8,86.0,5.185,5.004,5.131,5.261,5.542,5.744,5.744
142,Tajikistan,10492123388,10.49 billion,8.00,9952787,1054,97.0,4.548,26.749,6.6,71.594,31.4,45.427,79.0,2.14442566,9750064,9.3,74.0,4.996,5.041,5.199,5.467,5.556,5.466,5.466
143,Mauritania,10375460680,10.38 billion,5.20,4736139,2191,68.0,7.44,33.194,2.1,64.364,40.5,78.013,81.0,2.553910771,4614974,8.7,122.0,4.201,4.292,4.356,4.49,4.375,4.227,4.227
144,Togo,8126439481,8.13 billion,5.81,8848699,918,83.0,8.168,31.856,2.1,61.619,62.6,77.88,33.0,2.367338962,8644829,17.4,139.0,3.303,3.495,3.999,4.085,4.187,4.107,4.107
145,Maldives,6189865408,6.19 billion,12.30,523787,11818,96.0,3.02,14.088,9.2,79.918,6.0,7.291,38.0,1.355177392,521457,,,,,,,,,
146,Montenegro,6095978868,6.10 billion,6.09,627082,9721,83.0,14.8,11.4,9.1,73.82439024,2.3,10.361,14.0,-0.337762722,619211,2.5,73.0,5.161,5.237,5.347,5.523,5.546,5.581,5.581
147,Barbados,5637914515,5.64 billion,10.00,281635,20019,82.0,9.007,10.832,14.0,77.571,11.9,42.297,0.41,0.180461454,281200,2.5,,,,,,,,
148,Fiji,4943248200,4.94 billion,16.12,929766,5317,99.0,8.859,19.345,17.7,67.114,27.7,26.843,66.0,0.453976646,924610,6.6,,,,,,,,
149,Eswatini,4854167638,4.85 billion,3.91,1201670,4040,77.0,11.356,24.134,4.6,57.066,52.6,69.934,329.0,0.979052258,1192271,11.6,135.0,,,,4.212,4.308,,4.308
150,Liberia,4001047150,4.00 billion,4.81,5302681,755,66.0,8.838,31.287,2.1,60.747,76.0,123.38,308.0,2.05886078,5193416,38.4,141.0,3.622,3.533,3.495,3.975,4.558,4.625,4.625
151,Sierra Leone,3970343852,3.97 billion,3.50,8605718,461,92.0,9.113,31.36,2.1,60.062,104.7,100.905,289.0,2.241767371,8420641,27.8,129.0,4.635,4.709,4.571,4.374,3.926,3.849,3.849
152,Suriname,3620655116,3.62 billion,1.89,618040,5858,72.0,8.667,18.154,12.7,70.274,17.2,56.137,29.0,0.970459647,612985,9.0,,,,,,,,
153,Andorra,3352032737,3.35 billion,8.81,79824,41993,99.0,,,9.7,,2.8,5.887,2.9,1.702288225,79034,,,,,,,,,
155,Burundi,3073414678,3.07 billion,1.85,12889576,238,94.0,7.474,34.842,6.5,61.663,52.6,53.621,100.0,2.672478462,12551213,,145.0,2.905,2.905,2.905,3.775,3.775,3.775,3.775
156,Belize,2824081836,2.82 billion,12.13,405272,6968,83.0,6.353,17.976,14.5,70.47,11.2,57.127,27.0,1.285629921,400031,4.9,,,,,,,,
157,Lesotho,2553459763,2.55 billion,0.59,2305825,1107,87.0,14.186,26.107,4.6,53.062,72.9,89.568,630.0,1.20621788,2281454,46.0,144.0,,3.808,3.808,3.802,3.653,3.512,3.512
158,Central African Republic,2382618615,2.38 billion,0.00,5579144,427,42.0,11.393,42.68,5.8,53.895,99.9,160.507,540.0,2.113637226,5457154,48.7,155.0,,2.693,3.083,3.083,3.476,,
159,Cabo Verde,2314816792,2.31 billion,17.71,593149,3903,93.0,6.028,16.951,2.1,74.052,13.5,55.228,35.0,0.902988883,587925,18.2,,,,,,,,
160,Gambia,2273060863,2.27 billion,4.92,2705992,840,82.0,7.543,33.257,1.9,62.083,47.9,63.188,149.0,2.52879318,2639916,19.6,120.0,,,,4.516,4.751,5.051,5.051
161,Saint Lucia,2065027556,2.07 billion,15.40,179857,11481,80.0,10.299,11.49,11.7,71.111,24.8,36.918,2.6,0.230712748,179651,,,,,,,,,
162,Antigua and Barbuda,1757603704,1.76 billion,8.46,93763,18745,92.0,6.365,12.115,11.7,78.497,6.1,33.11,4.9,0.597151595,93219,,,,,,,,,
163,Guinea-Bissau,1633559092,1.63 billion,3.50,2105566,776,67.0,8.716,31.087,2.1,59.652,74.3,87.537,361.0,2.202589246,2060721,37.9,,,,,,,,
164,Solomon Islands,1595710784,1.60 billion,-4.06,724273,2203,87.0,5.028,29.785,19.8,70.348,18.8,60.251,65.0,2.3817423,707851,19.0,,,,,,,,
165,Seychelles,1588406479,1.59 billion,8.80,107118,14829,94.0,9.3,16.8,8.5,73.39756098,13.9,53.444,12.0,0.805183391,99258,4.3,,,,,,,,
166,Grenada,1256413185,1.26 billion,5.80,125438,10016,77.0,8.151,15.961,12.6,74.936,16.2,32.72,3.1,0.762873605,124610,,,,,,,,,
167,Comoros,1242519407,1.24 billion,2.39,836774,1485,91.0,8.718,29.398,11.7,63.417,49.7,58.173,35.0,1.899440995,821625,13.5,142.0,3.956,,,3.973,4.289,4.289,4.289
168,Vanuatu,983582865,984 million,1.85,326740,3010,62.0,5.395,29.438,15.6,70.449,23.2,64.063,34.0,2.362741525,319137,9.5,,,,,,,,
171,Samoa,832421565,832 million,-6.02,222382,3743,85.0,5.343,27.254,9.2,72.767,16.7,43.589,6.8,1.768578216,218764,4.6,,,,,,,,
172,Dominica,612048148,612 million,5.94,72737,8415,92.0,8.986,13.326,11.7,72.814,35.9,38.49,16.0,0.577535935,72412,6.7,,,,,,,,
174,Micronesia,427094119,427 million,-0.62,539013,792,72.0,6.211,20.777,15.6,70.71,24.9,35.835,80.0,0.9101587,113131,,,,,,,,,
175,Marshall Islands,279667900,280 million,1.50,41569,6728,86.0,7.556,19.28,23.0,65.269,29.7,58.035,483.0,-3.189954901,42050,,,,,,,,,
176,Kiribati,223352943,223 million,1.56,131232,1702,90.0,6.236,27.207,22.1,67.417,48.2,40.477,424.0,1.888540758,128874,12.1,,,,,,,,
177,Tuvalu,60349391,60 million,0.68,11312,5335,94.0,10.159,23.484,20.3,64.547,21.3,33.085,296.0,1.212244899,11204,,,,,,,,,
