Country,"Immunization, DPT (% of children ages 12-23 months)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population)
Gambia,82,7.543,33.257,1.9,62.083,47.9,63.188,149,2.52879318,2639916,19.6
Georgia,85,15.166,13.412,5.7,71.694,9.5,31.654,64,-0.379636607,3708610,2.9
Germany,91,12.3,9.6,6.9,80.90097561,3.6,7.465,5,0.042327057,83196078,2.5
Ghana,98,7.627,27.548,2.6,63.795,44,64.176,136,2.00774487,32833031,4.9
Greece,99,13.5,8,6.4,80.18292683,3.7,8.479,2.1,-1.21680249,10569207,2.5
Grenada,77,8.151,15.961,12.6,74.936,16.2,32.72,3.1,0.762873605,124610,null
Guatemala,79,6.504,21.12,13.1,69.237,23,64.054,26,1.480316806,17109746,13.3
Guinea,47,9.99,34.425,2.1,58.892,98.7,114.829,175,2.444317219,13531906,12.9
Guinea-Bissau,67,8.716,31.087,2.1,59.652,74.3,87.537,361,2.202589246,2060721,37.9
Guyana,98,9.987,20.298,11.7,65.673,27.7,66.556,64,0.919614739,804567,2.5
Haiti,51,8.676,23.498,8.9,63.192,58.6,52.545,159,1.237298997,11447569,45
Honduras,77,5.608,21.071,5.1,70.123,16.6,71.972,30,1.535139668,10278345,18.7
Hungary,99,16.1,9.7,7,74.46585366,4,22.148,3.7,-0.413751024,9709891,2.5
Iceland,92,6.3,13.1,5.5,83.11707317,2.6,5.395,2.2,1.63931664,372520,2.5
India,85,9.448,16.419,9.6,67.24,30.6,17.234,200,0.797216094,1407563842,16.6
Indonesia,67,10.065,16.425,10.6,67.57,22.2,33.929,339,0.694717688,273753191,5.9
Iran,98,6.437,13.699,9.1,73.875,12.6,30.155,12,0.722822505,87923432,6.1
Iraq,78,4.753,27.367,10.7,70.378,24.5,62.192,24,2.26888921,43533592,16.3
Ireland,94,6.6,11.6,3,82.10243902,3.1,5.941,4.8,0.953878184,5033164,2.5
Israel,98,5.4,19.7,8.5,82.5,3.4,7.614,2.8,1.681905517,9371400,2.5
Italy,94,12,6.8,6.4,82.79512195,2.6,3.993,4.6,-0.515599999,59133173,2.5
Ivory Coast,76,9.001,33.934,2.1,58.598,74.8,104.968,128,2.45530301,27478249,7.7
Jamaica,90,8.797,11.712,11.1,70.5,12.4,32.764,3.2,0.257040922,2827695,8.3
Japan,99,11.7,6.6,6.6,84.44560976,2.3,2.903,11,-0.459952416,125681593,3.2
